Accession ID	Collection date	Submission date	Location
EPI_ISL_476178	2020-03-16	2020-06-25	South America / Brazil / Rio de Janeiro
EPI_ISL_14800287	2021-04-08	2022-09-02	South America / Brazil / Amazonas
EPI_ISL_476198	2020-03-24	2020-06-25	South America / Brazil / Ceara
EPI_ISL_15737305	2022-10-24	2022-11-10	South America / Brazil / Rio de Janeiro
EPI_ISL_15737304	2022-10-21	2022-11-10	South America / Brazil / Rio de Janeiro
EPI_ISL_15737303	2022-10-25	2022-11-10	South America / Brazil / Rio de Janeiro
EPI_ISL_15737302	2022-10-25	2022-11-10	South America / Brazil / Sao Paulo
EPI_ISL_15737301	2022-10-25	2022-11-10	South America / Brazil / Sao Paulo
EPI_ISL_15737300	2022-10-25	2022-11-10	South America / Brazil / Sao Paulo
EPI_ISL_15737299	2022-10-20	2022-11-10	South America / Brazil / Sao Paulo
EPI_ISL_15737298	2022-10-25	2022-11-10	South America / Brazil / Rio de Janeiro
EPI_ISL_15737297	2022-10-18	2022-11-10	South America / Brazil / Sao Paulo
EPI_ISL_15737296	2022-10-25	2022-11-10	South America / Brazil / Sao Paulo
EPI_ISL_15737295	2022-10-25	2022-11-10	South America / Brazil / Sao Paulo
EPI_ISL_15737294	2022-10-20	2022-11-10	South America / Brazil / Sao Paulo
EPI_ISL_15737293	2022-10-18	2022-11-10	South America / Brazil / Sao Paulo
EPI_ISL_15737292	2022-10-21	2022-11-10	South America / Brazil / Sao Paulo
EPI_ISL_15737291	2022-10-19	2022-11-10	South America / Brazil / Sao Paulo
EPI_ISL_15737290	2022-10-19	2022-11-10	South America / Brazil / Sao Paulo
EPI_ISL_15737289	2022-10-29	2022-11-10	South America / Brazil / Pernambuco / Recife
EPI_ISL_15737288	2022-10-27	2022-11-10	South America / Brazil / Pernambuco / Recife
EPI_ISL_15737287	2022-10-30	2022-11-10	South America / Brazil / Pernambuco / Recife
EPI_ISL_15737286	2022-10-29	2022-11-10	South America / Brazil / Pernambuco / Recife
EPI_ISL_15737285	2022-10-26	2022-11-10	South America / Brazil / Pernambuco / Recife
EPI_ISL_15737284	2022-10-29	2022-11-10	South America / Brazil / Pernambuco / Recife
EPI_ISL_15737283	2022-10-28	2022-11-10	South America / Brazil / Pernambuco / Recife
EPI_ISL_15737282	2022-10-28	2022-11-10	South America / Brazil / Pernambuco / Recife
EPI_ISL_15737281	2022-10-25	2022-11-10	South America / Brazil / Pernambuco / Recife
EPI_ISL_15737280	2022-10-29	2022-11-10	South America / Brazil / Pernambuco / Recife
EPI_ISL_15737279	2022-10-29	2022-11-10	South America / Brazil / Pernambuco / Recife
EPI_ISL_15737278	2022-10-30	2022-11-10	South America / Brazil / Pernambuco / Recife
EPI_ISL_15737277	2022-10-27	2022-11-10	South America / Brazil / Pernambuco / Recife
EPI_ISL_15737276	2022-10-29	2022-11-10	South America / Brazil / Pernambuco / Recife
EPI_ISL_15737275	2022-10-28	2022-11-10	South America / Brazil / Pernambuco / Recife
EPI_ISL_15737274	2022-10-29	2022-11-10	South America / Brazil / Pernambuco / Recife
EPI_ISL_15737273	2022-10-26	2022-11-10	South America / Brazil / Pernambuco / Recife
EPI_ISL_15737272	2022-10-21	2022-11-10	South America / Brazil / Pernambuco / Recife
EPI_ISL_15737271	2022-10-22	2022-11-10	South America / Brazil / Pernambuco / Recife
EPI_ISL_15737270	2022-10-20	2022-11-10	South America / Brazil / Pernambuco / Recife
EPI_ISL_15737269	2022-10-20	2022-11-10	South America / Brazil / Pernambuco / Recife
EPI_ISL_15737268	2022-10-15	2022-11-10	South America / Brazil / Sao Paulo
EPI_ISL_15737267	2022-10-14	2022-11-10	South America / Brazil / Sao Paulo
EPI_ISL_15737266	2022-10-12	2022-11-10	South America / Brazil / Sao Paulo
EPI_ISL_15737265	2022-10-12	2022-11-10	South America / Brazil / Rio de Janeiro
EPI_ISL_15737264	2022-10-12	2022-11-10	South America / Brazil / Sao Paulo
EPI_ISL_15737263	2022-10-07	2022-11-10	South America / Brazil / Rio de Janeiro
EPI_ISL_15737262	2022-10-05	2022-11-10	South America / Brazil / Sao Paulo
EPI_ISL_15737261	2022-10-04	2022-11-10	South America / Brazil / Sao Paulo
EPI_ISL_15737260	2022-10-16	2022-11-10	South America / Brazil / Pernambuco / Recife
EPI_ISL_15737259	2022-10-12	2022-11-10	South America / Brazil / Pernambuco / Recife
EPI_ISL_15737258	2022-09-29	2022-11-10	South America / Brazil / Pernambuco / Recife
EPI_ISL_15737257	2022-09-26	2022-11-10	South America / Brazil / Pernambuco / Recife
EPI_ISL_15737256	2022-10-05	2022-11-10	South America / Brazil / Pernambuco / Recife
EPI_ISL_15737255	2022-09-04	2022-11-10	South America / Brazil / Parana / Curitiba
EPI_ISL_14800111	2020-05-26	2022-09-02	South America / Brazil / Amazonas
EPI_ISL_15737251	2022-08-30	2022-11-10	South America / Brazil / Parana / Curitiba
EPI_ISL_15737250	2022-08-30	2022-11-10	South America / Brazil / Parana / Curitiba
EPI_ISL_15737249	2022-08-30	2022-11-10	South America / Brazil / Parana / Curitiba
EPI_ISL_15737247	2022-08-30	2022-11-10	South America / Brazil / Parana / Curitiba
EPI_ISL_15737246	2022-08-26	2022-11-10	South America / Brazil / Parana / Curitiba
EPI_ISL_15737245	2022-08-25	2022-11-10	South America / Brazil / Parana / Curitiba
EPI_ISL_15737244	2022-08-23	2022-11-10	South America / Brazil / Parana / Curitiba
EPI_ISL_15737243	2022-08-23	2022-11-10	South America / Brazil / Parana / Curitiba
EPI_ISL_15737242	2022-08-23	2022-11-10	South America / Brazil / Parana / Curitiba
EPI_ISL_15737241	2022-08-23	2022-11-10	South America / Brazil / Parana / Curitiba
EPI_ISL_15737240	2022-08-23	2022-11-10	South America / Brazil / Parana / Curitiba
EPI_ISL_15737239	2022-09-23	2022-11-10	South America / Brazil / Parana / Curitiba
EPI_ISL_15737238	2022-10-07	2022-11-10	South America / Brazil / Parana / Curitiba
EPI_ISL_15737237	2022-09-28	2022-11-10	South America / Brazil / Parana / Curitiba
EPI_ISL_15737232	2022-09-27	2022-11-10	South America / Brazil / Sao Paulo
EPI_ISL_15737231	2022-09-16	2022-11-10	South America / Brazil / Sao Paulo
EPI_ISL_15737230	2022-09-15	2022-11-10	South America / Brazil / Sao Paulo
EPI_ISL_15737229	2022-09-18	2022-11-10	South America / Brazil / Sao Paulo
EPI_ISL_15737225	2022-09-06	2022-11-10	South America / Brazil / Sao Paulo
EPI_ISL_15737224	2022-09-06	2022-11-10	South America / Brazil / Sao Paulo
EPI_ISL_15652556	2022-05-12	2022-11-01	South America / Brazil / Parana
EPI_ISL_15652555	2022-01-08	2022-11-01	South America / Brazil / Amazonas
EPI_ISL_15652554	2022-04-29	2022-11-01	South America / Brazil / Sao Paulo
EPI_ISL_15652553	2022-01-22	2022-11-01	South America / Brazil / Ceara
EPI_ISL_15652548	2022-08-03	2022-11-01	South America / Brazil / Sao Paulo
EPI_ISL_15652547	2022-01-13	2022-11-01	South America / Brazil / Ceara
EPI_ISL_15652546	2022-05-06	2022-11-01	South America / Brazil / Sao Paulo
EPI_ISL_15652545	2022-04-30	2022-11-01	South America / Brazil / Sao Paulo
EPI_ISL_15652540	2022-04-13	2022-11-01	South America / Brazil / Sao Paulo
